ID,"Zeměpisná délka A","Zeměpisná délka B","Zeměpisná šířka A","Zeměpisná šířka B","Výška A","Výška B","Zisk antény A - DBI","Zisk antény B - DBI","Kmitočet A - MHz","Kmitočet B - MHz","Šířka zabraného pásma A","Šířka zabraného pásma B","Střední výkon A","Střední výkon B",Polarizace,Vzdálenost
13122,16.9858,16.9942,49.1519,49.1494,18,65,43.5,43.5,85750,75750,250,250,18,18,Vertikální,0.67
13123,16.5081,16.48,49.1739,49.1825,12,30,43.5,43.5,75750,85750,250,250,18,18,Vertikální,2.25
13124,16.6472,16.6397,49.1717,49.1725,19,23,46,46,84625,74625,1000,1000,13,13,Vertikální,0.55
13125,16.6417,16.6606,49.1044,49.1269,22,55,50.5,50.5,84125,74125,2000,2000,22,22,Vertikální,2.85
13126,16.5453,16.5419,49.0519,49.0842,35,30,50.5,50.5,82125,72125,2000,2000,22,22,Vertikální,3.59
13127,16.4589,16.5022,49.2231,49.2167,48,40,50.5,50.5,85250,75250,750,750,17,17,Vertikální,3.23
13128,16.5186,16.5189,49.2311,49.2211,16,12,46,46,83625,73625,1000,1000,16,16,Vertikální,1.11
13129,16.6417,16.6058,49.1044,49.0853,22,27,50.5,50.5,82125,72125,2000,2000,23,23,Vertikální,3.37
13130,17.6864,17.6925,49.2372,49.2181,12,25,50.5,43.5,81250,71250,250,250,18,18,Vertikální,2.18
13131,17.6669,17.6611,49.2256,49.2211,20,35,43.5,43.5,85500,75500,250,250,18,18,Vertikální,0.65
13132,16.5378,16.5342,49.175,49.1744,12,15,43.5,43.5,85500,75500,250,250,18,18,Vertikální,0.27
13133,18.23,18.2478,49.8006,49.7953,12,61,43.5,43.5,75750,85750,250,250,18,18,Vertikální,1.4
13134,16.2853,16.2997,49.2244,49.2656,20,40,50.5,50.5,84625,74625,1000,1000,22,22,Vertikální,4.69
13135,13.4214,13.4122,50.4642,50.4739,17,60,43.5,43.5,81250,71250,250,250,11,11,Vertikální,1.26
13136,16.5561,16.5869,49.1458,49.1464,30,30,50.5,46.5,84625,74625,1000,1000,16,16,Vertikální,2.24
13137,17.7292,17.7181,49.1172,49.0856,21,40,50.5,50.5,75375,85375,500,500,15,15,Vertikální,3.61
13138,16.2603,16.2661,49.1303,49.1469,35,35,46,46,74625,84625,1000,1000,15,15,Vertikální,1.9
13139,16.3553,16.3539,49.3694,49.3617,30,10,43.8,43.8,84625,74625,1000,1000,13,13,Vertikální,0.87
13140,14.4703,14.4964,50.0556,50.0572,10,75,43.5,43.5,71250,81250,250,250,14,14,Vertikální,1.87
13141,16.6375,16.7042,48.9192,48.9381,30,30,50.5,50.5,81625,71625,1000,1000,23,23,Vertikální,5.3
13142,12.8778,12.8781,50.2264,50.2258,20,30,39.6,39.6,81250,71250,250,250,11,11,Vertikální,0.06
13143,15.6094,15.6269,48.9422,48.9836,15,30,50.5,50.5,81625,71625,1000,1000,18,18,Vertikální,4.77
13144,15.9072,15.9094,50.3461,50.3453,12,29,43.5,43.5,81250,71250,250,250,18,18,Vertikální,0.18
13145,15.8392,15.8278,50.2175,50.2183,13,25,43.5,43.5,71250,81250,250,250,18,18,Vertikální,0.82
13146,15.5858,15.5864,49.6014,49.6022,13,31,43.5,43.5,81250,71250,250,250,18,18,Vertikální,0.1
13147,16.8836,16.8764,49.1728,49.1464,30,35,50.5,50.5,82125,72125,2000,2000,16,16,Vertikální,2.98
13148,16.6044,16.6067,49.2147,49.2161,13,35,43.5,43.5,75750,85750,250,250,18,18,Vertikální,0.22
13149,17.4458,17.4397,49.4633,49.4939,30,50,43.5,43.5,81250,71250,250,250,18,18,Vertikální,3.42
13150,16.4403,16.4478,49.9119,49.9114,12,30,43.5,43.5,81250,71250,250,250,18,18,Vertikální,0.54
13151,17.1983,17.2025,50.2256,50.2289,30,30,43.5,43.5,71250,81250,250,250,18,18,Vertikální,0.47
13152,16.6411,16.6339,49.4908,49.4986,15,40,46,46,85750,75750,250,250,18,18,Vertikální,1.01
13153,17.4633,17.46,49.9814,49.9869,24,70,43.5,43.5,85750,75750,250,250,18,18,Vertikální,0.66
13154,16.6436,16.6186,49.3703,49.3586,13,50,50.5,43.5,73750,83750,250,250,18,18,Vertikální,2.23
13155,14.5408,14.5494,50.6806,50.7028,12,30,46,50.5,81250,71250,250,250,15,15,Vertikální,2.54
13156,16.5814,16.5706,49.1739,49.1758,13,70,46,46,71750,81750,250,250,18,18,Vertikální,0.82
13157,17.4028,17.3897,48.9736,48.9517,22,39,50.5,43.5,85750,75750,250,250,18,18,Vertikální,2.62
13158,18.0067,17.9958,49.3319,49.3356,12,50,43.5,43.5,85750,75750,250,250,18,18,Horizontální,0.88
13159,18.1333,18.1308,49.4592,49.4611,12,35,43.5,43.5,85750,75750,250,250,18,18,Horizontální,0.28
13160,13.4214,13.4161,50.4642,50.4592,17,35,43.5,43.5,81250,71250,250,250,11,11,Vertikální,0.67
13161,14.6686,14.6689,50.1786,50.1844,12,22,43.5,43.5,75250,85250,250,250,11,11,Vertikální,0.65
13162,13.2947,13.2922,49.3881,49.3886,14,40,43.5,43.5,81250,71250,250,250,11,11,Vertikální,0.19
13163,15.3556,15.3642,50.4319,50.4389,13,47,43.5,43.5,81250,71250,250,250,18,18,Vertikální,0.98
